,brand,COUNT(brand)
0,CLINIQUE,64
1,Murad,54
2,Perricone MD,52
3,Shiseido,52
4,Origins,45
5,Kiehl's Since 1851,42
6,Kate Somerville,41
7,Peter Thomas Roth,40
8,Estée Lauder,39
9,Fresh,39
10,Algenist,36
11,Lancôme,36
12,philosophy,34
13,Caudalie,33
14,The Ordinary,33
15,Dr. Dennis Gross Skincare,32
16,HUM Nutrition,30
17,First Aid Beauty,28
18,Clarins,26
19,Dr. Brandt Skincare,23
20,REN Clean Skincare,23
21,Dior,21
22,Lancer,20
23,Dermalogica,19
24,tarte,19
25,AMOREPACIFIC,18
26,DERMAdoctor,18
27,Guerlain,17
28,IT Cosmetics,17
29,KORRES,17
30,SK-II,17
31,belif,17
32,Dr. Jart+,16
33,L'Occitane,16
34,Moon Juice,16
35,SEPHORA COLLECTION,16
36,SUNDAY RILEY,16
37,Skin Inc Supplement Bar,16
38,boscia,16
39,GLAMGLOW,15
40,Herbivore,15
41,Tatcha,15
42,Biossance,14
43,Erborian,14
44,Eve Lom,14
45,KORA Organics,14
46,La Mer,14
47,OLEHENRIKSEN,14
48,Tata Harper,14
49,Drunk Elephant,13
50,LANEIGE,13
51,Omorovicza,13
52,Proactiv,13
53,bareMinerals,13
54,Vital Proteins,12
55,Josie Maran,11
56,KENZOKI,11
57,Mario Badescu,11
58,Vitruvi,11
59,Blithe,10
60,Bobbi Brown,10
61,Anthony,9
62,Edible Beauty,9
63,Four Sigmatic,9
64,Supergoop!,9
65,BeautyBio,8
66,Dr Roebuck's,8
67,Erno Laszlo,8
68,WelleCo,8
69,Jack Black,7
70,MILK MAKEUP,7
71,Obagi Clinical,7
72,Volition Beauty,7
73,Kopari,6
74,Saturday Skin,6
75,Skinfix,6
76,Smashbox,6
77,Youth To The People,6
78,BIOEFFECT,5
79,Charlotte Tilbury,5
80,FARSÁLI,5
81,Farmacy,5
82,Glow Recipe,5
83,NARS,5
84,NuFACE,5
85,Peace Out,5
86,Skin Laundry,5
87,Slip,5
88,The Beauty Chef,5
89,Alpha-H,4
90,COOLA,4
91,COVER FX,4
92,Evian,4
93,Indie Lee,4
94,J.One,4
95,Naturally Serious,4
96,Nurse Jamie,4
97,Wander Beauty,4
98,BECCA,3
99,Briogeo,3
