,brand,SUM(review_score)
0,CLINIQUE,260.2286000000001
1,Murad,227.58249999999998
2,Shiseido,220.6057
3,Perricone MD,220.53090000000003
4,Origins,187.85090000000005
5,Kiehl's Since 1851,168.61109999999996
6,Peter Thomas Roth,165.9324
7,Kate Somerville,165.7493
8,Fresh,162.88689999999997
9,Estée Lauder,162.1539
10,Lancôme,152.1936
11,Algenist,149.18299999999994
12,The Ordinary,143.60899999999998
13,philosophy,139.891
14,Caudalie,138.27690000000004
15,Dr. Dennis Gross Skincare,133.1482
16,HUM Nutrition,124.28290000000001
17,First Aid Beauty,113.1201
18,Clarins,107.5226
19,REN Clean Skincare,96.52010000000001
20,Dr. Brandt Skincare,92.37930000000001
21,Dior,89.10040000000001
22,Lancer,85.8759
23,Dermalogica,85.4993
24,AMOREPACIFIC,77.4089
25,tarte,77.3691
26,belif,73.33239999999999
27,Guerlain,72.34289999999999
28,DERMAdoctor,72.3417
29,SK-II,71.3604
30,KORRES,70.1474
31,Moon Juice,69.1914
32,IT Cosmetics,68.7425
33,L'Occitane,67.9444
34,SEPHORA COLLECTION,66.22179999999999
35,Dr. Jart+,66.0806
36,SUNDAY RILEY,64.9709
37,Skin Inc Supplement Bar,64.0242
38,GLAMGLOW,63.116
39,Tatcha,63.0578
40,boscia,61.954299999999996
41,Herbivore,61.350899999999996
42,Biossance,61.12220000000001
43,OLEHENRIKSEN,59.61489999999999
44,Erborian,59.5248
45,Eve Lom,57.9455
46,LANEIGE,55.624199999999995
47,KORA Organics,55.3198
48,La Mer,55.20349999999999
49,Drunk Elephant,54.505599999999994
50,Proactiv,54.199200000000005
51,bareMinerals,54.1513
52,Omorovicza,53.9445
53,Tata Harper,53.0838
54,Vitruvi,52.4333
55,Mario Badescu,47.8069
56,Josie Maran,47.12
57,Vital Proteins,45.5667
58,KENZOKI,42.5041
59,Blithe,42.01220000000001
60,Bobbi Brown,41.832499999999996
61,Edible Beauty,41.6759
62,Anthony,39.287099999999995
63,Four Sigmatic,38.58669999999999
64,WelleCo,36.9167
65,Supergoop!,36.5468
66,Erno Laszlo,36.189499999999995
67,BeautyBio,35.7677
68,Dr Roebuck's,33.2622
69,Jack Black,31.9724
70,Obagi Clinical,30.579
71,Volition Beauty,29.8358
72,Skinfix,28.6275
73,Saturday Skin,27.805300000000003
74,MILK MAKEUP,27.1
75,Youth To The People,26.3948
76,Kopari,25.1554
77,Smashbox,24.8552
78,The Beauty Chef,23.3512
79,BIOEFFECT,22.4895
80,NuFACE,21.571800000000003
81,Peace Out,21.46419999999999
82,Farmacy,21.402199999999997
83,Slip,21.3339
84,Glow Recipe,20.833399999999997
85,FARSÁLI,20.612499999999997
86,NARS,20.149299999999997
87,Alpha-H,19.8333
88,Charlotte Tilbury,19.622700000000002
89,Evian,18.6226
90,Skin Laundry,18.4653
91,COVER FX,18.3567
92,J.One,17.1964
93,Indie Lee,17.1113
94,Wander Beauty,16.1015
95,Naturally Serious,16.0559
96,COOLA,15.555299999999999
97,Golde,15.0
98,RODIN olio lusso ,15.0
99,Nurse Jamie,14.5167
