,brand,name,price,n_of_reviews,n_of_loves,review_score,size,clean_product,category
0,Clarins,Double Serum Complete Age Control Concentrate,89,391,16293,4.0997,1 oz,0,Face Serums
1,Drunk Elephant,C-Firma Vitamin C Day Serum,80,1000,135964,4.1097,1 oz,1,Face Serums
2,Drunk Elephant,TLC Sukari Babyfacial Mask,80,1000,178783,4.4283,1.69 oz,1,Face Masks
3,Drunk Elephant,T.L.C. Framboos™ Glycolic Night Serum,90,1000,144421,4.2968,1 oz,1,Face Serums
4,SUNDAY RILEY,Good Genes All-In-One Lactic Acid Treatment,158,2000,154923,4.3046,1.7 oz,0,Face Serums
5,SK-II,Facial Treatment Essence,179,788,68880,4.0622,None,0,Mists & Essences
6,Estée Lauder,Advanced Night Repair Synchronized Recovery Complex II Duo,168,11,12952,5,None,0,Face Serums
7,OLEHENRIKSEN,Truth Serum®,49,4000,171521,4.2454,1 oz,0,Face Serums
8,The Ordinary,AHA 30% + BHA 2% Peeling Solution,7.2,210,38876,4.8,1 oz,0,Facial Peels
9,The Ordinary,"""Buffet""",14.8,468,78360,4.1581,1 oz,0,Face Serums
10,The Ordinary,Niacinamide 10% + Zinc 1%,5.9,634,83066,4.2429,1 oz,0,Face Serums
11,Drunk Elephant,A-Passioni™ Retinol Cream,74,467,54090,4.3276,1 oz,1,Face Serums
12,Peace Out,Microneedling Dark Spot Brightening Dots,28,213,26012,3.9484,None,0,Face Serums
13,Dr. Dennis Gross Skincare,Alpha Beta® Extra Strength Daily Peel,88,2000,92304,4.5534,None,0,Facial Peels
14,Glow Recipe,Pineapple-C Brightening Serum,49,357,12791,4.5238,1 oz,1,Face Serums
15,The Ordinary,Hyaluronic Acid 2% + B5,6.8,501,84567,4.1896,1 oz,0,Face Serums
16,Drunk Elephant,B-Hydra™ Intensive Hydration Serum,52,1000,75143,4.1762,1.69 oz,1,Face Serums
17,The Ordinary,Caffeine Solution 5% + EGCG,6.7,401,57034,3.9925,1 oz,0,Face Serums
18,La Mer,The Concentrate,370,61,15710,3.9344,1 oz,0,Moisturizer & Treatments
19,Tatcha,Violet-C Brightening Serum 20% Vitamin C + 10% AHA,88,1000,44326,4.5497,1 oz,1,Face Serums
20,The Ordinary,The No-Brainer Set,29,52,25917,4.5769,None,0,Face Serums
21,Kiehl's Since 1851,Clearly Corrective™ Dark Spot Solution,52,174,27192,3.6839,1 oz,0,Moisturizer & Treatments
22,Peace Out,Acne Healing Dots,19,1000,61219,4.2638,None,0,Blemish & Acne Treatments
23,Estée Lauder,Advanced Night Repair Synchronized Recovery Complex II,98,540,72661,4.3463,1.7 oz,0,Night Creams
24,La Mer,The Treatment Lotion,150,77,16514,4.3247,5 oz,0,Face Serums
25,Drunk Elephant,Rise + Glow™ Duo,23,560,127519,4.1036,None,0,Skincare
26,Drunk Elephant,NightBright™ Duo,28,619,124048,4.2084,None,1,Night Creams
27,GLAMGLOW,SUPERMUD® Activated Charcoal Treatment Mask,59,5000,235409,4.2189,1.7 oz,0,Face Masks
28,The Ordinary,Granactive Retinoid* 2% Emulsion,9.8,303,69956,4.6403,1 oz,0,Face Serums
29,Volition Beauty,Strawberry-C Brightening Serum,42,81,14810,4.3951,1.0 oz,1,Face Serums
30,SUNDAY RILEY,A+ High-Dose Retinol Serum,85,92,19917,4.4239,1 oz,0,Face Serums
31,Lancôme,Advanced Génifique Youth Activating Serum,105,1000,41278,4.4907,1.69 oz,0,Face Serums
32,Dr. Jart+,Cicapair ™ Tiger Grass Color Correcting Treatment SPF 30,52,1000,68346,4.2025,1.7 oz,0,Face Serums
33,SUNDAY RILEY,Luna Retinol Sleeping Night Oil,105,1000,112116,4.1146,1.18 oz,0,Face Oils
34,Kiehl's Since 1851,Midnight Recovery Concentrate,49,566,66439,4.3233,1 oz,0,Face Serums
35,Caudalie,Vinoperfect Radiance Serum,79,2000,59511,4.2488,1 oz,1,Face Serums
36,Dr. Dennis Gross Skincare,Alpha Beta® Universal Daily Peel,88,943,44769,4.5016,None,0,Facial Peels
37,FARSÁLI,Skintune Blur Perfecting Primer Serum,54,336,51705,3.878,1 oz,0,Face Primer
38,The Ordinary,Salicylic Acid 2% Solution,5.3,358,62632,4.3184,1 oz,0,Face Serums
39,The Ordinary,Lactic Acid 10% + HA 2%,6.8,185,57991,4.6,1 oz,0,Face Serums
40,The Ordinary,Natural Moisturizing Factors + HA,5.8,276,36155,4.1594,1 oz,0,Face Serums
41,Drunk Elephant,D-Bronzi Anti-Pollution Bronzing Drops,36,679,45884,4.4698,1 oz,1,Face Serums
42,Shiseido,Ultimune Power Infusing Serum Concentrate,100,346,11292,4.1705,1.6 oz,0,Face Serums
43,The Ordinary,Alpha Arbutin 2% + HA,8.9,98,30605,4.0816,1 oz,0,Face Serums
44,The Ordinary,Azelaic Acid Suspension 10%,7.9,181,29007,4.1547,1 oz,0,Face Serums
45,First Aid Beauty,Facial Radiance Pads,32,1000,71226,4.2845,None,0,Facial Peels
46,CLINIQUE,Acne Solutions Clear Skin System Starter Kit ,28,1000,35986,3.9879,None,0,Value & Gift Sets
47,Dr. Jart+,Focuspot™ Micro Tip Patches,18,71,13463,3.7746,None,0,Face Serums
48,SUNDAY RILEY,C.E.O. 15% Vitamin C Brightening Serum,85,440,27787,3.9182,1 oz,0,Face Serums
49,Murad,Rapid Age Spot and Pigment Lightening Serum ,72,1000,38729,3.8161,1 oz,0,Face Serums
50,Biossance,Squalane + Vitamin C Rose Oil,72,316,38037,4.3956,1 oz,1,Face Oils
51,SUNDAY RILEY,CAPTAIN MARVEL x GOOD GENES All-In-One Lactic Acid Treatment,158,11,1208,2.9091,1.7 oz,0,Face Serums
52,The Ordinary,"""Buffet"" + Copper Peptides 1%",28.9,9,6493,4.4444,1 oz,0,Face Serums
53,SUNDAY RILEY,U.F.O. Ultra-Clarifying Face Oil,80,1000,81319,4.1595,1.18 oz,0,Face Oils
54,FARSÁLI,Unicorn Essence Antioxidant Primer Serum,54,1000,133987,3.8928,1 oz,0,Face Serums
55,Algenist,GENIUS Liquid Collagen,115,561,32818,4.0089,1 oz,0,Face Serums
56,Dr. Dennis Gross Skincare,Clinical Grade Resurfacing Liquid Peel,95,273,6789,4.7546,1 oz,0,Facial Peels
57,Caudalie,Vinopure Natural Salicylic Acid Pore Minimizing Serum,49,521,34155,4.4242,1 oz,1,None
58,The Ordinary,100% Plant-Derived Squalane,7.9,15,7298,4.7333,1 oz,0,None
59,Kate Somerville,ExfoliKate® Intensive Exfoliating Treatment,24,2000,54075,4.41,0.5 oz,0,None
60,Dr. Jart+,Cicapair™ Tiger Grass Re.Pair Serum,46,366,29594,4.2186,1 oz,0,Face Serums
61,The Ordinary,Vitamin C Suspension 23% + HA Spheres 2%,5.8,265,33372,3.9849,1 oz,0,None
62,FARSÁLI,Skintune Blur Perfecting Primer Serum Mini,22,2,0,3,0.34 oz,0,None
63,Caudalie,Vinosource S.O.S Thirst Quenching Serum,49,700,34118,4.4914,1 oz,1,Face Serums
64,FARSÁLI,Rose Gold Elixir – 24k Gold Infused Beauty Oil,54,1000,114554,3.9263,1 oz,0,Face Oils
65,Guerlain,Orchidée Impériale The Cream,460,6,1403,5,1.6 oz,0,None
66,La Mer,The Regenerating Serum,345,23,6243,3.913,1 oz,0,Face Serums
67,COOLA,Sunless Tan Anti-Aging Face Serum,54,104,10661,4.1827,1.7 oz,1,For Face
68,Peter Thomas Roth,Potent-C™ Vitamin C Power Serum,95,571,18559,4.2067,1 oz,0,Face Serums
69,Murad,Retinol Youth Renewal Serum,89,241,9893,4.5519,1 oz,0,Face Serums
70,Peace Out,Pore Treatment Strips,19,586,22387,4.1672,None,0,Blemish & Acne Treatments
71,Kate Somerville,EradiKate™ Acne Treatment,26,2000,70140,4.2727,1 oz,0,Blemish & Acne Treatments
