,brand,name,price,n_of_reviews,n_of_loves,review_score,size,clean_product,category
0,Slip,Silk Pillowcase - Standard/Queen,85.00,222,56021,4.2658,,0,None
1,HUM Nutrition,Hair Sweet Hair Growth - Vegan Gummies,25.00,195,21267,4.0872,60 Vegan berry gummy hearts•,0,None
2,Herbivore,Jade Facial Roller,30.00,95,12405,3.8842,None,1,Tools
3,Slip,Silk Pillowcase - King,105.00,48,12033,4.4792000000000005,,0,None
4,Vital Proteins,Collagen Peptides,25.00,63,6333,4.2222,10 oz,0,Beauty Supplements
5,SEPHORA COLLECTION,Sephora Collection x OLLY,15.00,11,0,3.9091000000000005,50 Capsules•,0,Beauty Supplements
6,BeautyBio,Contouring + De-Puffing Rose Quartz Roller,60.00,17,5316,4.8235,None,0,None
7,HUM Nutrition,Skin Heroes Pre + Probiotic Clear Skin Supplement,40.00,1,2461,5.0,60 Capsules•,0,None
8,HUM Nutrition,Daily Cleanse Clear Skin and Body Detox Supplement,25.00,332,30843,4.003,60 Capsules•,0,None
9,Moon Juice,SuperYou® Daily Stress Management,49.00,67,7542,4.5672,60 capsules•,0,Beauty Supplements
10,Mount Lai,De-Puffing Jade Facial Roller,34.00,130,22987,4.0538,,0,None
11,Slip,Silk Sleepmask,50.00,90,21578,3.9222,,0,Holistic Wellness
12,Mount Lai,De-Puffing Rose Quartz Facial Roller,38.00,45,12519,4.1778,Standard,0,None
13,HUM Nutrition,Glow Sweet Glow Skin Hydration - Vegan Gummies,25.00,58,8552,4.5,60 Tangerine Vegan Gummies•,0,None
14,HUM Nutrition,Flatter Me Digestive Enzyme Supplement,25.00,109,16147,4.0826,60 Vegetarian Capsules•,0,Beauty Supplements
15,HUM Nutrition,Skinny Bird™ Supplements,40.00,122,13349,3.3443,90 Vegetarian Capsules•,0,None
16,The Beauty Chef,COLLAGEN Inner Beauty Boost,50.00,95,9287,4.5158000000000005,16.9 oz,0,Beauty Supplements
17,Mount Lai,Amethyst Roller,44.00,18,4492,4.8889,standard size,0,None
18,The Beauty Chef,GLOW ADVANCED Inner Beauty Powder,70.00,68,6438,4.6618,5.3 oz,0,None
19,Sephora Favorites,Wellness Kit,39.00(55.00 value),3,2054,4.0,None,0,Value & Gift Sets
20,HUM Nutrition,Collagen Love Skin Firming Supplement,40.00,31,11682,4.4839,90 capsules•,0,None
21,Vital Proteins,Marine Collagen,48.00,9,1772,4.7778,20 packets x 0.35 oz,0,Beauty Supplements
22,Cocofloss,Cocofloss,9.00,239,15803,4.318,32 yd•,0,None
23,Vital Proteins,Collagen Beauty Glow - Tropical Hibiscus,54.00,3,2300,5.0,10.8 oz,0,None
24,SEPHORA COLLECTION,Sephora Collection x OLLY: Lustrous Hair,15.00,14,5669,4.5714,50 Capsules•,0,Beauty Supplements
25,Nurse Jamie,Uplift Massaging Beauty Roller,69.00,75,18283,4.2667,,0,Tools
26,SEPHORA COLLECTION,Sephora Collection x OLLY: Glowing Skin,15.00,20,6477,4.45,50 Capsules•,0,Beauty Supplements
27,Murad,Pure Skin® Clarifying Dietary Supplement,50.00,498,11165,4.1104,None,0,Beauty Supplements
28,Murad,Firm and Tone Dietary Supplement Pack,138.00,75,5627,3.9333,28 Daily Packettes•,0,Cellulite & Stretch Marks
